OrderID,OrderDate,CustomerID,CustomerName,ProductID,ProductName,Category,Brand,Quantity,UnitPrice,Discount,TotalAmount,PaymentMethod,OrderStatus,City,Country,SellerID
ORD0075722,2022-12-22,CUST006588,Sahil Gupta,P00003,Smartphone Case,Clothing,Zenith,4,298.45,0.05,1144.54,Debit Card,Delivered,Columbus,India,SELL01349
ORD0080185,2023-05-12,CUST005827,Pooja Patel,P00032,Board Game,Toys & Games,ReadMore,2,154.48,0.0,341.31,Credit Card,Delivered,Jacksonville,India,SELL00680
ORD0019865,2021-09-08,CUST019087,Arjun Kumar,P00014,Drone Mini,Home & Kitchen,Apex,3,400.34,0.05,1243.58,Debit Card,Delivered,Chicago,United States,SELL00556
ORD0076700,2023-03-12,CUST000432,Aman Kumar,P00034,Desk Organizer,Books,Apex,1,175.53,0.1,175.42,Debit Card,Shipped,Houston,United States,SELL00299
ORD0092992,2022-09-10,CUST011736,Aarav Sharma,P00016,Air Fryer,Books,ReadMore,5,190.37,0.0,1077.22,Credit Card,Delivered,Charlotte,United States,SELL01625
ORD0076435,2023-11-03,CUST032187,Aarav Patel,P00029,T-Shirt,Clothing,ReadMore,2,424.7,0.05,851.0,Credit Card,Delivered,San Diego,United States,SELL00488
ORD0084005,2024-04-11,CUST035153,Pooja Kumar,P00041,Webcam Full HD,Sports & Outdoors,Zenith,1,559.84,0.05,627.85,Cash on Delivery,Delivered,Jacksonville,Canada,SELL00670
ORD0080918,2020-03-21,CUST038251,Aditya Verma,P00014,Drone Mini,Home & Kitchen,FitLife,2,472.76,0.0,1120.45,Credit Card,Delivered,Charlotte,Canada,SELL00247
ORD0060768,2020-06-02,CUST031537,Neha Joshi,P00044,Power Bank 20000mAh,Electronics,FitLife,5,49.75,0.0,269.29,Amazon Pay,Delivered,Denver,Australia,SELL01569
ORD0050075,2023-04-18,CUST048050,Neha Gupta,P00013,Action Camera,Home & Kitchen,Apex,3,143.0,0.05,454.76,Credit Card,Cancelled,Phoenix,United States,SELL00630
ORD0027702,2021-07-19,CUST022658,Rohit Kapoor,P00040,Microphone,Electronics,ReadMore,4,170.81,0.0,752.44,Amazon Pay,Delivered,Seattle,United States,SELL00611
ORD0042142,2024-08-23,CUST049749,Aarav Singh,P00009,Portable SSD 1TB,Electronics,Apex,4,454.38,0.05,1877.71,Credit Card,Delivered,Chicago,United States,SELL00234
ORD0045081,2024-11-29,CUST026335,Kabir Kapoor,P00021,Backpack,Sports & Outdoors,CoreTech,4,570.85,0.15,2176.73,Credit Card,Delivered,Chicago,Canada,SELL00743
ORD0016639,2024-04-27,CUST019133,Mohit Singh,P00011,Fitness Band,Home & Kitchen,FitLife,4,506.81,0.0,2277.99,Debit Card,Delivered,Fort Worth,United States,SELL01111
ORD0020425,2023-01-17,CUST037283,Neha Joshi,P00041,Webcam Full HD,Electronics,BrightLux,1,430.91,0.05,439.3,UPI,Delivered,Indianapolis,United States,SELL01767
ORD0088703,2022-05-04,CUST012715,Karan Sharma,P00028,Jeans,Home & Kitchen,HomeEase,1,158.95,0.05,178.53,Debit Card,Delivered,Dallas,India,SELL00374
ORD0000150,2022-11-22,CUST033670,Sneha Kapoor,P00009,Portable SSD 1TB,Toys & Games,NexPro,3,43.8,0.0,148.14,Cash on Delivery,Shipped,Columbus,United States,SELL00027
ORD0001762,2020-01-25,CUST029395,Arjun Kumar,P00031,Kids Toy Car,Home & Kitchen,ReadMore,5,490.78,0.1,2482.07,Debit Card,Shipped,Phoenix,United States,SELL01629
ORD0063121,2020-12-10,CUST022502,Arjun Mehta,P00014,Drone Mini,Home & Kitchen,Apex,3,34.14,0.0,119.25,Credit Card,Delivered,San Diego,United States,SELL00121
ORD0069162,2023-12-13,CUST043877,Sneha Kapoor,P00044,Power Bank 20000mAh,Toys & Games,UrbanStyle,2,254.46,0.0,614.1,Amazon Pay,Delivered,Philadelphia,United States,SELL01258
ORD0064884,2021-03-12,CUST026325,Aarav Mehta,P00009,Portable SSD 1TB,Electronics,HomeEase,4,509.2,0.0,2284.71,Amazon Pay,Shipped,New York,United States,SELL00948
ORD0002496,2023-07-31,CUST041949,Ritika Reddy,P00003,Smartphone Case,Toys & Games,ReadMore,4,486.39,0.0,2050.99,Amazon Pay,Delivered,Chicago,Australia,SELL00348
ORD0080297,2023-12-02,CUST014717,Neha Singh,P00043,HDMI Cable 2m,Sports & Outdoors,KiddoFun,1,274.18,0.0,310.59,Credit Card,Delivered,San Jose,United States,SELL01276
ORD0019448,2020-07-17,CUST039076,Kabir Patel,P00022,Water Bottle,Toys & Games,CoreTech,1,344.13,0.0,364.13,Net Banking,Delivered,Indianapolis,Canada,SELL01739
ORD0041332,2020-02-12,CUST045676,Karan Singh,P00028,Jeans,Electronics,UrbanStyle,5,564.67,0.25,2505.17,Amazon Pay,Delivered,Columbus,Canada,SELL01334
ORD0014889,2020-06-14,CUST018656,Kabir Reddy,P00024,Yoga Mat,Toys & Games,FitLife,1,522.61,0.0,549.03,Debit Card,Delivered,New York,United States,SELL00469
ORD0088637,2021-02-11,CUST044292,Sunita Kapoor,P00012,Noise Cancelling Headphones,Clothing,Zenith,2,330.68,0.0,725.88,Debit Card,Delivered,Philadelphia,United States,SELL00806
ORD0094893,2024-08-01,CUST027426,Rohit Verma,P00019,LED Desk Lamp,Clothing,ReadMore,2,437.39,0.0,925.25,Credit Card,Shipped,Charlotte,United States,SELL01867
ORD0092732,2021-04-05,CUST010231,Sahil Kapoor,P00036,Smart Light Bulb,Toys & Games,CoreTech,5,333.4,0.15,1530.91,Debit Card,Delivered,Fort Worth,United States,SELL00366
ORD0029131,2022-11-24,CUST000209,Anjali Kumar,P00010,Smartwatch,Sports & Outdoors,Apex,3,555.25,0.3,1239.15,Debit Card,Delivered,Fort Worth,United States,SELL01209
ORD0079023,2024-04-06,CUST022147,Ritika Joshi,P00025,Running Shoes,Books,UrbanStyle,5,59.45,0.25,256.11,Net Banking,Returned,Houston,United States,SELL00509
ORD0084937,2024-08-25,CUST038220,Sahil Gupta,P00014,Drone Mini,Toys & Games,HomeEase,3,501.11,0.1,1471.44,Debit Card,Delivered,Chicago,United States,SELL01714
ORD0016822,2022-07-18,CUST039086,Sneha Joshi,P00005,Laptop Sleeve,Books,Apex,4,397.29,0.05,1639.07,UPI,Delivered,Los Angeles,India,SELL01875
ORD0036734,2024-07-14,CUST024276,Sneha Singh,P00005,Laptop Sleeve,Home & Kitchen,KiddoFun,3,258.65,0.15,660.8,Amazon Pay,Delivered,Phoenix,United States,SELL01913
ORD0015603,2021-04-19,CUST049051,Sunita Reddy,P00038,External HDD 2TB,Home & Kitchen,Apex,3,443.07,0.1,1197.24,Credit Card,Delivered,San Antonio,United States,SELL00679
ORD0028534,2023-08-11,CUST012233,Arjun Verma,P00017,Electric Kettle,Electronics,BrightLux,2,512.82,0.05,1052.72,Credit Card,Cancelled,Charlotte,India,SELL01973
ORD0069770,2024-07-21,CUST009057,Priya Sharma,P00013,Action Camera,Home & Kitchen,KiddoFun,4,157.14,0.0,683.47,Credit Card,Delivered,Los Angeles,United States,SELL01617
ORD0011406,2024-03-07,CUST049991,Pooja Reddy,P00018,Vacuum Cleaner,Home & Kitchen,UrbanStyle,4,265.13,0.0,1118.03,Amazon Pay,Delivered,San Diego,United States,SELL01182
ORD0096853,2022-11-17,CUST049442,Sahil Mehta,P00027,Winter Jacket,Electronics,Apex,5,503.06,0.2,2185.69,Credit Card,Pending,Philadelphia,United States,SELL01012
ORD0016131,2022-05-24,CUST026050,Aarav Verma,P00027,Winter Jacket,Electronics,NexPro,1,84.48,0.1,77.74,Debit Card,Shipped,Dallas,United States,SELL01372
ORD0019793,2023-09-21,CUST025723,Sneha Kapoor,P00001,Wireless Earbuds,Books,NexPro,1,129.87,0.0,156.5,Debit Card,Delivered,San Jose,Australia,SELL01033
ORD0089578,2022-03-10,CUST020784,Karan Kapoor,P00034,Desk Organizer,Home & Kitchen,Apex,5,488.32,0.0,2643.55,Credit Card,Delivered,Seattle,India,SELL00676
ORD0040164,2021-10-25,CUST008456,Aarav Gupta,P00012,Noise Cancelling Headphones,Toys & Games,ReadMore,5,550.11,0.0,2900.89,Credit Card,Delivered,Chicago,United States,SELL00497
ORD0031777,2024-02-07,CUST015813,Rohit Singh,P00022,Water Bottle,Sports & Outdoors,FitLife,5,225.7,0.05,1202.68,Net Banking,Delivered,Los Angeles,United States,SELL00577
ORD0025331,2020-09-22,CUST014980,Sahil Sharma,P00050,Novel Bestseller,Clothing,FitLife,1,492.21,0.05,496.15,Amazon Pay,Delivered,Charlotte,United States,SELL00675
ORD0079157,2021-04-29,CUST010310,Arjun Patel,P00023,Cookware Set,Books,KiddoFun,2,554.19,0.1,1049.15,Debit Card,Delivered,Los Angeles,United States,SELL00758
ORD0051686,2021-03-26,CUST046424,Arjun Joshi,P00034,Desk Organizer,Home & Kitchen,BrightLux,5,349.77,0.0,1899.51,Net Banking,Delivered,Fort Worth,United States,SELL01873
ORD0075499,2022-01-01,CUST016163,Arjun Mehta,P00026,Sunglasses,Clothing,Zenith,5,112.12,0.2,502.38,Amazon Pay,Delivered,Phoenix,Canada,SELL01840
ORD0004728,2020-06-10,CUST002696,Simran Joshi,P00028,Jeans,Electronics,Zenith,3,378.03,0.0,1230.9,Debit Card,Delivered,Los Angeles,United States,SELL01978
ORD0085199,2021-10-19,CUST036779,Aman Gupta,P00039,Graphic Tablet,Home & Kitchen,NexPro,3,451.31,0.15,1300.99,Debit Card,Pending,Seattle,United States,SELL00143
ORD0035796,2020-11-06,CUST018141,Karan Joshi,P00043,HDMI Cable 2m,Clothing,FitLife,5,83.97,0.05,427.19,Credit Card,Delivered,San Francisco,Australia,SELL00387
ORD0012257,2024-04-29,CUST038211,Kabir Joshi,P00008,4K Monitor,Toys & Games,Apex,5,486.1,0.1,2452.89,Cash on Delivery,Delivered,Houston,United States,SELL01824
ORD0035719,2021-06-09,CUST029572,Sneha Patel,P00036,Smart Light Bulb,Clothing,Apex,4,517.63,0.0,2249.66,Credit Card,Delivered,Jacksonville,United States,SELL00928
